year	well_cost
1973-09-13	573.9975987
1973-09-14	573.9975987
1973-09-15	573.9975987
1973-09-16	573.9975987
1973-09-17	573.9975987
1973-09-18	573.9975987
1973-09-19	573.9975987
1973-09-20	573.9975987
1973-09-21	573.9975987
1973-09-22	573.9975987
1973-09-23	573.9975987
1973-09-24	573.9975987
1973-09-25	573.9975987
1973-09-26	573.9975987
1973-09-27	573.9975987
1973-09-28	573.9975987
1973-09-29	573.9975987
1973-09-30	573.9975987
1973-10-01	573.9975987
1973-10-02	573.9975987
1973-10-03	573.9975987
1973-10-04	573.9975987
1973-10-05	573.9975987
1973-10-06	573.9975987
1973-10-07	573.9975987
1973-10-08	573.9975987
1973-10-09	573.9975987
1973-10-10	573.9975987
1973-10-11	573.9975987
1973-10-12	573.9975987
1973-10-13	573.9975987
1973-10-14	573.9975987
1973-10-15	573.9975987
1973-10-16	573.9975987
1973-10-17	573.9975987
1973-10-18	573.9975987
1973-10-19	573.9975987
1973-10-20	573.9975987
1973-10-21	573.9975987
1973-10-22	573.9975987
1973-10-23	573.9975987
1973-10-24	573.9975987
1973-10-25	573.9975987
1973-10-26	573.9975987
1973-10-27	573.9975987
1973-10-28	573.9975987
1973-10-29	573.9975987
1973-10-30	573.9975987
1973-10-31	573.9975987
1973-11-01	573.9975987
1973-11-02	573.9975987
1973-11-03	573.9975987
1973-11-04	573.9975987
1973-11-05	573.9975987
1973-11-06	573.9975987
1973-11-07	573.9975987
1973-11-08	573.9975987
1973-11-09	573.9975987
1973-11-10	573.9975987
1973-11-11	573.9975987
1973-11-12	573.9975987
1973-11-13	573.9975987
1973-11-14	573.9975987
1973-11-15	573.9975987
1973-11-16	573.9975987
1973-11-17	573.9975987
1973-11-18	573.9975987
1973-11-19	573.9975987
1973-11-20	573.9975987
1973-11-21	573.9975987
1973-11-22	573.9975987
1973-11-23	573.9975987
1973-11-24	573.9975987
1973-11-25	573.9975987
1973-11-26	573.9975987
1973-11-27	573.9975987
1973-11-28	573.9975987
1973-11-29	573.9975987
1973-11-30	573.9975987
1973-12-01	573.9975987
1973-12-02	573.9975987
1973-12-03	573.9975987
1973-12-04	573.9975987
1973-12-05	573.9975987
1973-12-06	573.9975987
1973-12-07	573.9975987
1973-12-08	573.9975987
1973-12-09	573.9975987
1973-12-10	573.9975987
1973-12-11	573.9975987
1973-12-12	573.9975987
1973-12-13	573.9975987
1973-12-14	573.9975987
1973-12-15	573.9975987
1973-12-16	573.9975987
1973-12-17	573.9975987
1973-12-18	573.9975987
1973-12-19	573.9975987
1973-12-20	573.9975987
1973-12-21	573.9975987
1973-12-22	573.9975987
1973-12-23	573.9975987
1973-12-24	573.9975987
1973-12-25	573.9975987
1973-12-26	573.9975987
1973-12-27	573.9975987
1973-12-28	573.9975987
1973-12-29	573.9975987
1973-12-30	573.9975987
1973-12-31	573.9975987
1974-01-01	737.7017139
1974-01-02	737.7017139
1974-01-03	737.7017139
1974-01-04	737.7017139
1974-01-05	737.7017139
1974-01-06	737.7017139
1974-01-07	737.7017139
