"tmax" "tmin" "tmean" "td" "precip" "ETo.Kc" "precip.month.byday" "Eff.R" "IRR" "ETo_mm"
"1982-03-09" 26.06063255 12.70339685 19.58096984 13.3572357 0 1.86330705594233 1.69977644832258 0 1.86330705594233 4.05066751291811
"1982-03-10" 27.61083779 12.85387426 20.43097022 14.75696353 0 2.01455092125309 1.69977644832258 0 2.01455092125309 4.37945852446323
"1982-03-11" 29.2253817 14.24026971 21.93097022 14.98511199 0 2.12172157201955 1.69977644832258 0 2.12172157201955 4.61243820004249
"1982-03-12" 30.27411064 13.37022405 22.02097037 16.90388659 0 2.27129936469733 1.69977644832258 0 2.27129936469733 4.93760731455941
"1982-03-13" 29.72368225 12.34246831 21.23096946 17.38121394 0 2.27003858638201 1.69977644832258 0 2.27003858638201 4.93486649213481
"1982-03-14" 29.44385704 12.32681756 21.085969 17.11703948 0 2.25673008349221 1.69977644832258 0 2.25673008349221 4.90593496411349
"1982-03-15" 30.32104668 13.47293954 22.09596923 16.84810714 0 2.30961070785288 1.69977644832258 0 2.30961070785288 5.02089284315844
"1982-03-16" 31.79453644 15.0224629 23.60596946 16.77207354 0 2.40450194819844 1.69977644832258 0 2.40450194819844 5.22717814825747
"1982-03-17" 33.7325724 17.88842588 26.01096824 15.84414652 0 2.48595278683777 1.69977644832258 0 2.48595278683777 5.40424518877776
"1982-03-18" 33.98311409 16.46480184 25.42596915 17.51831225 0 2.59265649504689 1.69977644832258 0 2.59265649504689 5.63620977184107
"1982-03-19" 33.49035439 16.83079725 25.36097053 16.65955714 0 2.53762111493931 1.69977644832258 0 2.53762111493931 5.5165676411724
"1982-03-20" 33.75737175 15.41806512 24.78596976 18.33930663 0 2.64047694228366 1.69977644832258 0 2.64047694228366 5.74016726583405
"1982-03-21" 34.06026634 15.45344549 24.95596984 18.60682085 0 2.68378758537792 1.69977644832258 0 2.68378758537792 5.83432083777809
"1982-03-22" 34.8625277 16.44002538 25.8509703 18.42250232 0 2.73996113867549 1.69977644832258 0 2.73996113867549 5.95643725799019
